SPREFID,USUBJID,OMEXCLFL,OMSTAT,OMREASND,OMTESTCD,OMTEST,OMSPEC,OMSTRES,OMSTRESU,OMDY,SEX
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,BRAIN,2.141,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.55057,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,HEART,1.279,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,HEART,0.3289,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,LIVER,11.88,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.055,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,KIDNEY,2.42,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.62231,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,TESTIS,4.075,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,TESTIS,1.0479,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,EPIDIDYMIS,1.466,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.37699,%,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.20495,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",0.954,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.24533,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.063,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.0162,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,SPLEEN,0.994,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.25561,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,THYMUS,0.425,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.10929,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.797,g,92,M
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,BRAIN,1.895,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.90622,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,HEART,0.863,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,HEART,0.4127,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,LIVER,7.758,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.71,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,KIDNEY,1.651,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.78954,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,OVARY,0.171,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,OVARY,0.08178,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,UTERUS,0.551,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.2635,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.061,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.02917,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,SPLEEN,0.706,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.33762,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,THYMUS,0.351,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.16785,%,94,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,BRAIN,1.962,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.90424,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,HEART,0.762,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,HEART,0.35119,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,LIVER,7.729,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.5621,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,KIDNEY,1.501,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.69178,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,OVARY,0.116,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,OVARY,0.05346,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,UTERUS,0.512,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.23597,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.055,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.02535,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,SPLEEN,0.608,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.28021,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,THYMUS,0.3,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.13826,%,93,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,BRAIN,1.865,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.82284,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,HEART,0.858,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,HEART,0.37855,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,LIVER,7.828,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.4537,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,KIDNEY,1.73,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.76328,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,OVARY,0.143,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,OVARY,0.06309,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,UTERUS,1.658,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.73151,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.081,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.03574,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,SPLEEN,0.579,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.25546,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,THYMUS,0.296,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.1306,%,94,F
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,BRAIN,2.038,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.49204,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,HEART,1.59,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,HEART,0.38388,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,LIVER,13.465,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.2509,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,KIDNEY,2.683,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.64776,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,TESTIS,3.725,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,TESTIS,0.89934,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,EPIDIDYMIS,1.846,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.44568,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.755,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.18228,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",1.554,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.37519,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.073,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.01762,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,SPLEEN,0.826,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.19942,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,THYMUS,0.548,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.13231,%,92,M
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,BRAIN,1.998,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.95154,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,HEART,0.82,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,HEART,0.39052,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,LIVER,8.004,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.8119,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,KIDNEY,1.572,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.74866,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,OVARY,0.123,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,OVARY,0.05858,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,UTERUS,0.495,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.23574,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.055,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.02619,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,SPLEEN,0.612,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.29146,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,THYMUS,0.306,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.14573,%,93,F
T103875-4,T103875-4-0048,,,,WEIGHT,Weight,BRAIN,1.855,g,94,F
T103875-4,T103875-4-0048,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.80735,%,94,F
T103875-4,T103875-4-0048,,,,WEIGHT,Weight,HEART,0.816,g,94,F
T103875-4,T103875-4-0048,,,,OWBW,Organ to Body Weight Ratio,HEART,0.35515,%,94,F
T103875-4,T103875-4-0048,,,,WEIGHT,Weight,LIVER,9.208,g,94,F
T103875-4,T103875-4-0048,,,,OWBW,Organ to Body Weight Ratio,LIVER,4.0076,%,94,F
T103875-4,T103875-4-0048,,,,WEIGHT,Weight,KIDNEY,1.676,g,94,F
T103875-4,T103875-4-0048,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.72944,%,94,F
T103875-4,T103875-4-0048,,,,WEIGHT,Weight,OVARY,0.159,g,94,F
T103875-4,T103875-4-0048,,,,OWBW,Organ to Body Weight Ratio,OVARY,0.0692,%,94,F
T103875-4,T103875-4-0048,,,,WEIGHT,Weight,UTERUS,0.628,g,94,F
T103875-4,T103875-4-0048,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.27332,%,94,F
T103875-4,T103875-4-0048,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.092,g,94,F
T103875-4,T103875-4-0048,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.04004,%,94,F
T103875-4,T103875-4-0048,,,,WEIGHT,Weight,SPLEEN,0.543,g,94,F
T103875-4,T103875-4-0048,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.23633,%,94,F
T103875-4,T103875-4-0048,,,,WEIGHT,Weight,THYMUS,0.351,g,94,F
T103875-4,T103875-4-0048,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.15277,%,94,F
T103875-4,T103875-4-0047,,,,WEIGHT,Weight,BRAIN,1.863,g,93,F
T103875-4,T103875-4-0047,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.8432,%,93,F
T103875-4,T103875-4-0047,,,,WEIGHT,Weight,HEART,0.811,g,93,F
T103875-4,T103875-4-0047,,,,OWBW,Organ to Body Weight Ratio,HEART,0.36706,%,93,F
T103875-4,T103875-4-0047,,,,WEIGHT,Weight,LIVER,7.797,g,93,F
T103875-4,T103875-4-0047,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.5289,%,93,F
T103875-4,T103875-4-0047,,,,WEIGHT,Weight,KIDNEY,1.708,g,93,F
T103875-4,T103875-4-0047,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.77305,%,93,F
T103875-4,T103875-4-0047,,,,WEIGHT,Weight,OVARY,0.127,g,93,F
T103875-4,T103875-4-0047,,,,OWBW,Organ to Body Weight Ratio,OVARY,0.05748,%,93,F
T103875-4,T103875-4-0047,,,,WEIGHT,Weight,UTERUS,0.85,g,93,F
T103875-4,T103875-4-0047,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.38471,%,93,F
T103875-4,T103875-4-0047,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.092,g,93,F
T103875-4,T103875-4-0047,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.04164,%,93,F
T103875-4,T103875-4-0047,,,,WEIGHT,Weight,SPLEEN,0.694,g,93,F
T103875-4,T103875-4-0047,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.31411,%,93,F
T103875-4,T103875-4-0047,,,,WEIGHT,Weight,THYMUS,0.346,g,93,F
T103875-4,T103875-4-0047,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.1566,%,93,F
T103875-4,T103875-4-0009,,,,WEIGHT,Weight,BRAIN,2.041,g,94,M
T103875-4,T103875-4-0009,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.51602,%,94,M
T103875-4,T103875-4-0009,,,,WEIGHT,Weight,HEART,1.275,g,94,M
T103875-4,T103875-4-0009,,,,OWBW,Organ to Body Weight Ratio,HEART,0.32235,%,94,M
T103875-4,T103875-4-0009,,,,WEIGHT,Weight,LIVER,13.982,g,94,M
T103875-4,T103875-4-0009,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.535,%,94,M
T103875-4,T103875-4-0009,,,,WEIGHT,Weight,KIDNEY,2.805,g,94,M
T103875-4,T103875-4-0009,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.70918,%,94,M
T103875-4,T103875-4-0009,,,,WEIGHT,Weight,TESTIS,4.022,g,94,M
T103875-4,T103875-4-0009,,,,OWBW,Organ to Body Weight Ratio,TESTIS,1.0169,%,94,M
T103875-4,T103875-4-0009,,,,WEIGHT,Weight,EPIDIDYMIS,1.405,g,94,M
T103875-4,T103875-4-0009,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.35522,%,94,M
T103875-4,T103875-4-0009,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.993,g,94,M
T103875-4,T103875-4-0009,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.25106,%,94,M
T103875-4,T103875-4-0009,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",1.342,g,94,M
T103875-4,T103875-4-0009,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.33929,%,94,M
T103875-4,T103875-4-0009,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.054,g,94,M
T103875-4,T103875-4-0009,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.01365,%,94,M
T103875-4,T103875-4-0009,,,,WEIGHT,Weight,SPLEEN,0.98,g,94,M
T103875-4,T103875-4-0009,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.24777,%,94,M
T103875-4,T103875-4-0009,,,,WEIGHT,Weight,THYMUS,0.417,g,94,M
T103875-4,T103875-4-0009,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.10543,%,94,M
T103875-4,T103875-4-0044,,,,WEIGHT,Weight,KIDNEY,1.675,g,93,F
T103875-4,T103875-4-0044,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.72086,%,93,F
T103875-4,T103875-4-0044,,,,WEIGHT,Weight,OVARY,0.176,g,93,F
T103875-4,T103875-4-0044,,,,OWBW,Organ to Body Weight Ratio,OVARY,0.07574,%,93,F
T103875-4,T103875-4-0044,,,,WEIGHT,Weight,UTERUS,1.013,g,93,F
T103875-4,T103875-4-0044,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.43596,%,93,F
T103875-4,T103875-4-0044,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.091,g,93,F
T103875-4,T103875-4-0044,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.03916,%,93,F
T103875-4,T103875-4-0044,,,,WEIGHT,Weight,SPLEEN,0.614,g,93,F
T103875-4,T103875-4-0044,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.26425,%,93,F
T103875-4,T103875-4-0044,,,,WEIGHT,Weight,THYMUS,0.319,g,93,F
T103875-4,T103875-4-0044,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.13729,%,93,F
T103875-4,T103875-4-0044,,,,WEIGHT,Weight,BRAIN,1.941,g,93,F
T103875-4,T103875-4-0044,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.83534,%,93,F
T103875-4,T103875-4-0044,,,,WEIGHT,Weight,HEART,0.84,g,93,F
T103875-4,T103875-4-0044,,,,OWBW,Organ to Body Weight Ratio,HEART,0.36151,%,93,F
T103875-4,T103875-4-0044,,,,WEIGHT,Weight,LIVER,7.855,g,93,F
T103875-4,T103875-4-0044,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.3805,%,93,F
T103875-4,T103875-4-0007,,,,WEIGHT,Weight,BRAIN,1.922,g,92,M
T103875-4,T103875-4-0007,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.55826,%,92,M
T103875-4,T103875-4-0007,,,,WEIGHT,Weight,HEART,1.02,g,92,M
T103875-4,T103875-4-0007,,,,OWBW,Organ to Body Weight Ratio,HEART,0.29627,%,92,M
T103875-4,T103875-4-0007,,,,WEIGHT,Weight,LIVER,12.416,g,92,M
T103875-4,T103875-4-0007,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.6063,%,92,M
T103875-4,T103875-4-0007,,,,WEIGHT,Weight,KIDNEY,2.561,g,92,M
T103875-4,T103875-4-0007,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.74386,%,92,M
T103875-4,T103875-4-0007,,,,WEIGHT,Weight,TESTIS,3.833,g,92,M
T103875-4,T103875-4-0007,,,,OWBW,Organ to Body Weight Ratio,TESTIS,1.1133,%,92,M
T103875-4,T103875-4-0007,,,,WEIGHT,Weight,EPIDIDYMIS,1.471,g,92,M
T103875-4,T103875-4-0007,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.42726,%,92,M
T103875-4,T103875-4-0007,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.831,g,92,M
T103875-4,T103875-4-0007,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.24137,%,92,M
T103875-4,T103875-4-0007,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",1.14,g,92,M
T103875-4,T103875-4-0007,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.33112,%,92,M
T103875-4,T103875-4-0007,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.059,g,92,M
T103875-4,T103875-4-0007,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.01714,%,92,M
T103875-4,T103875-4-0007,,,,WEIGHT,Weight,SPLEEN,0.692,g,92,M
T103875-4,T103875-4-0007,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.201,%,92,M
T103875-4,T103875-4-0007,,,,WEIGHT,Weight,THYMUS,0.437,g,92,M
T103875-4,T103875-4-0007,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.12693,%,92,M
T103875-4,T103875-4-0005,,,,WEIGHT,Weight,BRAIN,2.032,g,92,M
T103875-4,T103875-4-0005,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.51836,%,92,M
T103875-4,T103875-4-0005,,,,WEIGHT,Weight,HEART,1.308,g,92,M
T103875-4,T103875-4-0005,,,,OWBW,Organ to Body Weight Ratio,HEART,0.33367,%,92,M
T103875-4,T103875-4-0005,,,,WEIGHT,Weight,LIVER,11.791,g,92,M
T103875-4,T103875-4-0005,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.0078,%,92,M
T103875-4,T103875-4-0005,,,,WEIGHT,Weight,KIDNEY,2.644,g,92,M
T103875-4,T103875-4-0005,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.67447,%,92,M
T103875-4,T103875-4-0005,,,,WEIGHT,Weight,TESTIS,4.081,g,92,M
T103875-4,T103875-4-0005,,,,OWBW,Organ to Body Weight Ratio,TESTIS,1.041,%,92,M
T103875-4,T103875-4-0005,,,,WEIGHT,Weight,EPIDIDYMIS,1.456,g,92,M
T103875-4,T103875-4-0005,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.37142,%,92,M
T103875-4,T103875-4-0005,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.884,g,92,M
T103875-4,T103875-4-0005,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.22551,%,92,M
T103875-4,T103875-4-0005,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",1.614,g,92,M
T103875-4,T103875-4-0005,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.41173,%,92,M
T103875-4,T103875-4-0005,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.061,g,92,M
T103875-4,T103875-4-0005,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.01556,%,92,M
T103875-4,T103875-4-0005,,,,WEIGHT,Weight,SPLEEN,0.731,g,92,M
T103875-4,T103875-4-0005,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.18648,%,92,M
T103875-4,T103875-4-0005,,,,WEIGHT,Weight,THYMUS,0.3,g,92,M
T103875-4,T103875-4-0005,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.07653,%,92,M
T103875-4,T103875-4-0041,,,,WEIGHT,Weight,BRAIN,1.739,g,93,F
T103875-4,T103875-4-0041,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.79448,%,93,F
T103875-4,T103875-4-0041,,,,WEIGHT,Weight,HEART,0.77,g,93,F
T103875-4,T103875-4-0041,,,,OWBW,Organ to Body Weight Ratio,HEART,0.35178,%,93,F
T103875-4,T103875-4-0041,,,,WEIGHT,Weight,LIVER,8.283,g,93,F
T103875-4,T103875-4-0041,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.7842,%,93,F
T103875-4,T103875-4-0041,,,,WEIGHT,Weight,KIDNEY,1.51,g,93,F
T103875-4,T103875-4-0041,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.68986,%,93,F
T103875-4,T103875-4-0041,,,,WEIGHT,Weight,OVARY,0.176,g,93,F
T103875-4,T103875-4-0041,,,,OWBW,Organ to Body Weight Ratio,OVARY,0.08041,%,93,F
T103875-4,T103875-4-0041,,,,WEIGHT,Weight,UTERUS,1.119,g,93,F
T103875-4,T103875-4-0041,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.51123,%,93,F
T103875-4,T103875-4-0041,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.064,g,93,F
T103875-4,T103875-4-0041,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.02924,%,93,F
T103875-4,T103875-4-0041,,,,WEIGHT,Weight,SPLEEN,0.57,g,93,F
T103875-4,T103875-4-0041,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.26041,%,93,F
T103875-4,T103875-4-0041,,,,WEIGHT,Weight,THYMUS,0.366,g,93,F
T103875-4,T103875-4-0041,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.16721,%,93,F
T103875-4,T103875-4-0043,,,,WEIGHT,Weight,BRAIN,1.947,g,93,F
T103875-4,T103875-4-0043,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.9153,%,93,F
T103875-4,T103875-4-0043,,,,WEIGHT,Weight,HEART,1.14,g,93,F
T103875-4,T103875-4-0043,,,,OWBW,Organ to Body Weight Ratio,HEART,0.53593,%,93,F
T103875-4,T103875-4-0043,,,,WEIGHT,Weight,LIVER,8.444,g,93,F
T103875-4,T103875-4-0043,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.9696,%,93,F
T103875-4,T103875-4-0043,,,,WEIGHT,Weight,KIDNEY,1.791,g,93,F
T103875-4,T103875-4-0043,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.84197,%,93,F
T103875-4,T103875-4-0043,,,,WEIGHT,Weight,OVARY,0.148,g,93,F
T103875-4,T103875-4-0043,,,,OWBW,Organ to Body Weight Ratio,OVARY,0.06958,%,93,F
T103875-4,T103875-4-0043,,,,WEIGHT,Weight,UTERUS,0.685,g,93,F
T103875-4,T103875-4-0043,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.32203,%,93,F
T103875-4,T103875-4-0043,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.089,g,93,F
T103875-4,T103875-4-0043,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.04184,%,93,F
T103875-4,T103875-4-0043,,,,WEIGHT,Weight,SPLEEN,0.412,g,93,F
T103875-4,T103875-4-0043,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.19369,%,93,F
T103875-4,T103875-4-0043,,,,WEIGHT,Weight,THYMUS,0.373,g,93,F
T103875-4,T103875-4-0043,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.17535,%,93,F
T103875-4,T103875-4-0008,,,,WEIGHT,Weight,BRAIN,1.923,g,94,M
